"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","14.8","","","","1"
"2010","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","13.1","","","","1"
"2011","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","15.1","","","","1"
"2012","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","13.7","","","","1"
"2013","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","15.5","","","","1"
"2014","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","15.9","","","","1"
"2015","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","14.4","","","","1"
"2016","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","16.1","","","","1"
"2017","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","14.2","","","","1"
"2018","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","14.5","","","","1"
"2019","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","14.3","","","","1"
"2020","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","13.1","","","","1"
"2021","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","15.7","","","","1"
