"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","835.92","","","","2"
"2009","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","831.35","A","","","2"
"2010","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","881.80","A","","","2"
"2011","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","886.39","A","","","2"
"2012","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","889.49","A","","","2"
"2013","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","911.21","A","","","2"
"2014","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","935.63","A","","","2"
"2015","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","946.38","A","","","2"
"2016","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","948.45","A","","","2"
"2017","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","952.66","A","","","2"
"2018","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","961.73","A","","","2"
"2019","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","1020.80","A","","","2"
"2020","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","1006.10","B","","","2"
"2021","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","1062.84","B","","","2"
"2022","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","1080.22","B","","","2"
"2023","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","1191.92","B","","","2"
"2024","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","1246.74","B","","","2"
"2001","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","469.82","","","","2"
"2002","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","467.12","","","","2"
"2003","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","466.72","","","","2"
"2004","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","483.50","","","","2"
"2005","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","503.35","","","","2"
"2006","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","513.09","","","","2"
"2007","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","522.23","","","","2"
"2008","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","530.38","","","","2"
"2009","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","548.45","A","","","2"
"2010","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","564.55","A","","","2"
"2011","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","576.62","A","","","2"
"2012","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","595.20","A","","","2"
"2013","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","607.98","A","","","2"
"2014","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","629.80","A","","","2"
"2015","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","653.10","A","","","2"
"2016","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","663.76","A","","","2"
"2017","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","653.83","A","","","2"
"2018","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","681.04","A","","","2"
"2019","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","700.88","A","","","2"
"2020","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","737.44","B","","","2"
"2021","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","742.94","B","","","2"
"2022","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","781.16","B","","","2"
"2023","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","793.85","B","","","2"
"2024","Nova Scotia","2021A000212","All employees","Including overtime","Trade [41-45N]","Current dollars","75","units","0","v1741202","4.1.1.144","852.72","B","","","2"
