"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","30.9","","","","1"
"2023","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","25.3","","","","1"
"2024","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","31.7","","","","1"
"2001","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","55.3","","","","1"
"2002","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","56.1","","","","1"
"2003","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","66.9","","","","1"
"2004","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","59.2","","","","1"
"2005","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","61.3","","","","1"
"2006","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","57.3","","","","1"
"2007","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","59.6","","","","1"
"2008","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","66.9","","","","1"
"2009","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","68.4","","","","1"
"2010","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","79.5","","","","1"
"2011","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","72.3","","","","1"
"2012","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","72.5","","","","1"
"2013","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","70.6","","","","1"
"2014","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","77.7","","","","1"
"2015","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","78.4","","","","1"
"2016","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","77.7","","","","1"
"2017","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","77.4","","","","1"
"2018","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","79.3","","","","1"
"2019","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","83.6","","","","1"
"2020","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","82.7","","","","1"
"2021","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","89.2","","","","1"
"2022","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","95.5","","","","1"
"2023","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","90.6","","","","1"
"2024","Ontario","2021A000235","Part-time employment","Professional, scientific and technical services [54]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366516","7.4.21.1.1","97.8","","","","1"
"2001","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","86.9","","","","1"
"2002","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","85.9","","","","1"
"2003","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","88.9","","","","1"
